"phenotype","PhecodeString","group","training.n","training.event","training.preid","internal.n","internal.event","internal.preid","external.n","external.event","external.preid","MIMIC_png.n","MIMIC_png.event","MIMIC_png.preid"
"292","Neurological disorders","Mental disorders",166445,64,"1405 (489-2486)",71414,31,"1412 (492-2493)",66099,30,"1691 (755-2814)",29496,141,"936.5 (357-1539.25)"
"292.1","Aphasia/speech disturbance","Mental disorders",166103,405,"1404 (487.5-2484)",71253,156,"1411 (490-2492)",65986,133,"1689 (753-2813.75)",29018,545,"931 (354-1532)"
"292.11","Aphasia","Mental disorders",166200,316,"1404 (487-2485)",71301,118,"1413 (492-2493)",66005,80,"1691 (755-2815)",29210,318,"937 (358-1538)"
"292.2","Mild cognitive impairment","Mental disorders",165905,1482,"1396 (482-2476)",71153,615,"1402 (484-2480)",65801,785,"1676 (741-2799)",29446,261,"934 (356-1537)"
"292.3","Memory loss","Mental disorders",166398,182,"1404 (488-2484)",71390,60,"1412 (491-2493)",66068,135,"1688 (753-2811)",29427,151,"935 (356-1537)"
"292.4","Altered mental status","Mental disorders",165504,1183,"1405 (490-2486)",71003,482,"1413 (492-2495)",65821,381,"1691 (756-2816)",27786,2098,"915 (347-1518)"
"293.1","Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]","Mental disorders",164509,803,"1396 (481-2472)",70597,353,"1401 (483-2477)",65090,478,"1671 (738-2795)",29333,245,"934 (356-1536)"
"295.1","Schizophrenia","Mental disorders",165535,310,"1403 (488-2483)",70977,149,"1409 (489-2488)",65625,148,"1686 (751-2810)",29121,163,"932 (354-1534)"
"295.2","Paranoid disorders","Mental disorders",166333,97,"1405 (489-2485)",71352,45,"1412 (491-2493)",66049,58,"1690 (754-2813)",29455,157,"934 (356-1536.5)"
"295.3","Psychosis","Mental disorders",166152,234,"1404 (488-2484)",71289,89,"1410 (490-2491)",65971,108,"1689 (753-2813)",29135,282,"932 (354-1532)"
"296","Mood disorders","Mental disorders",166029,456,"1403 (487-2484)",71232,187,"1410 (490-2491)",65902,214,"1687 (751.25-2811)",29171,332,"929 (353-1530)"
"296.1","Bipolar","Mental disorders",165222,514,"1400 (484-2481)",70885,252,"1406 (486-2486)",65294,309,"1678 (744.25-2801)",28641,365,"928 (352-1532)"
"296.2","Depression","Mental disorders",165212,446,"1400 (485-2478)",70895,160,"1407 (489-2484)",65301,253,"1681 (745-2803)",24667,1082,"894 (336-1483)"
"296.22","Major depressive disorder","Mental disorders",162602,3052,"1381 (469-2459.75)",69821,1289,"1385 (470-2459)",63779,1552,"1648 (713-2775)",27836,3767,"882 (333-1489)"
"297.2","Suicide or self-inflicted injury","Mental disorders",166174,233,"1405 (488-2485)",71295,108,"1412 (491-2493)",66036,55,"1690 (754-2813)",29354,310,"931 (354-1532)"
"300","Anxiety, phobic and dissociative disorders","Mental disorders",165255,351,"1399 (484-2478)",70899,148,"1406 (487-2483)",65049,228,"1679 (746-2802)",29554,35,"935 (356-1537)"
"300.1","Anxiety disorder","Mental disorders",158975,3300,"1358 (455-2426)",68164,1358,"1365 (454-2431)",60594,2060,"1604 (678-2724)",25212,2976,"873 (327-1480)"
"300.11","Generalized anxiety disorder","Mental disorders",165375,1462,"1391 (478-2469)",70914,621,"1396 (479-2472)",65228,1155,"1655 (726-2782)",29506,152,"935 (356-1536.75)"
"300.12","Agorophobia, social phobia, and panic disorder","Mental disorders",165614,621,"1399 (482-2478)",71088,252,"1405 (485.75-2484)",65623,342,"1677 (742-2801)",29302,245,"932 (354-1532)"
"300.13","Phobia","Mental disorders",166432,48,"1405 (489-2485)",71385,16,"1412 (491-2493)",66070,36,"1689 (754-2813)",29566,55,"936 (357-1538)"
"300.3","Obsessive-compulsive disorders","Mental disorders",166357,50,"1405 (489-2485)",71369,19,"1413 (491-2492)",66028,54,"1689.5 (754-2813)",29527,57,"936 (356-1538)"
"300.4","Dysthymic disorder","Mental disorders",164029,1404,"1391 (478-2467)",70361,590,"1396 (476-2471)",64023,952,"1662 (728-2787)",28795,85,"931 (354.5-1529)"
"300.8","Acute reaction to stress","Mental disorders",166398,104,"1405 (489-2485)",71381,44,"1413 (491-2492)",66077,61,"1690 (754-2813)",29555,36,"936 (357-1538)"
"301","Personality disorders","Mental disorders",166286,137,"1404 (488-2484)",71343,53,"1411 (491-2491)",65993,71,"1688 (753-2812)",29481,80,"934 (356-1536)"
"301.2","Antisocial/borderline personality disorder","Mental disorders",166345,64,"1405 (488-2485)",71377,28,"1412 (491-2492)",66056,47,"1689 (753-2813)",29417,118,"933 (354-1535)"
"303.3","Psychogenic disorder","Mental disorders",166323,108,"1404 (488-2484)",71363,40,"1411 (491-2492)",65974,102,"1687 (752-2811)",29572,77,"935 (356-1537)"
"303.4","Somatoform disorder","Mental disorders",166217,399,"1403 (487-2484)",71308,153,"1410.5 (490-2491)",66005,198,"1687 (751-2810)",29530,82,"935 (356-1536.75)"
"304","Adjustment reaction","Mental disorders",164866,1601,"1395 (479-2474)",70723,637,"1402 (483-2481)",65094,829,"1672 (735-2798)",29296,310,"933 (355-1534.25)"
"306.9","Tension headache","Mental disorders",165279,560,"1398 (482-2476)",70905,239,"1402 (484-2480)",65143,406,"1669 (736-2793)",29511,82,"934 (356-1537)"
"313.1","Attention deficit hyperactivity disorder","Mental disorders",166219,115,"1405 (488-2486)",71350,32,"1412 (491-2493)",66032,51,"1690 (754-2813)",29293,184,"934 (356-1537)"
"313.2","Tics and stuttering","Mental disorders",166376,51,"1405 (488-2485)",71371,29,"1412 (491-2492)",66058,31,"1690 (754.25-2813.75)",29597,11,"937 (357-1539)"
"315","Develomental delays and disorders","Mental disorders",166339,103,"1405 (488-2485)",71376,42,"1412 (491-2493)",66062,43,"1691 (755-2814)",29239,456,"931 (354-1532.5)"
"315.3","Mental retardation","Mental disorders",166346,69,"1405 (489-2485)",71355,22,"1412 (491-2493)",66048,27,"1690 (754-2813)",29448,60,"935 (356-1535.25)"
"316","Substance addiction and disorders","Mental disorders",166075,225,"1404 (488-2485)",71225,92,"1411 (491-2491)",65933,112,"1689 (752-2813)",27802,840,"916 (347-1520.75)"
"317","Alcohol-related disorders","Mental disorders",165619,647,"1403 (486-2483)",71047,240,"1410 (490-2489)",65834,151,"1689 (752-2813)",28122,560,"928 (353-1532.75)"
"317.1","Alcoholism","Mental disorders",165477,328,"1403 (487-2483)",71013,158,"1410 (489-2488)",65788,113,"1689 (753-2811)",27564,709,"921 (348-1528)"
"317.11","Alcoholic liver damage","Mental disorders",165501,365,"1405 (489-2485)",71016,162,"1412 (492-2490)",65750,124,"1687 (753-2811)",28981,225,"936 (358-1540)"
"318","Tobacco use disorder","Mental disorders",165858,622,"1400 (485-2480)",71159,261,"1407 (488-2486)",65736,300,"1682 (748-2807)",20554,3490,"893 (346-1492)"
"320","Meningitis","Neurological",166202,139,"1404 (489-2485)",71296,51,"1412 (491-2493)",65993,70,"1689 (754-2812)",29461,79,"935 (356-1536)"
"323","Encephalitis","Neurological",166372,83,"1405 (489-2485)",71374,44,"1412 (491-2492.75)",66069,47,"1690 (754-2813)",29580,19,"936 (357-1538)"
"323.8","Encephalitis, non-infectious","Neurological",166367,120,"1405 (489-2486)",71370,67,"1412 (491-2493)",66076,50,"1691 (755-2814)",29569,23,"936 (357-1538)"
"324","Other CNS infection and poliomyelitis","Neurological",166222,173,"1404 (488-2484)",71316,64,"1413 (491-2493)",66005,68,"1690 (754-2813)",29418,112,"935 (357-1536.75)"
"327","Sleep disorders","Neurological",159582,2604,"1366 (460-2438)",68531,1086,"1372 (461-2436)",60789,1684,"1620 (689-2732)",29551,56,"935 (356-1538)"
"327.3","Sleep apnea","Neurological",163626,1427,"1389 (476-2466)",70204,655,"1394 (476-2469)",64208,773,"1658 (729-2782)",29207,384,"929 (352-1530)"
"327.32","Obstructive sleep apnea","Neurological",165678,907,"1400 (484-2480)",71111,397,"1406 (485-2486)",65670,639,"1674 (740-2800)",27007,1444,"903 (340-1502)"
"327.4","Insomnia","Neurological",159249,4931,"1356 (454-2428)",68270,2032,"1362 (454.25-2435)",60777,2705,"1599 (668-2719)",28182,1621,"912.5 (343-1518)"
"327.5","Parasomnia","Neurological",166412,134,"1404 (488-2484.25)",71400,47,"1411 (491-2492)",66071,64,"1690 (755-2813.5)",29590,33,"936 (356-1538)"
"327.6","Circadian rhythm sleep disorder","Neurological",166229,214,"1404 (487-2483)",71310,86,"1410 (490-2489)",65924,133,"1686 (751-2811)",29610,21,"936 (357-1539)"
"327.71","Restless legs syndrome","Neurological",166316,754,"1401 (486-2481)",71346,338,"1407 (488-2487)",66001,420,"1682 (749-2806)",29318,203,"934 (356-1536.75)"
"331","Other cerebral degenerations","Neurological",165341,1398,"1397 (483-2475)",70924,543,"1403 (485-2483)",65422,716,"1678 (744-2801)",29591,60,"936 (357-1539)"
"331.1","Hydrocephalus","Neurological",165442,743,"1403 (487-2483)",71004,317,"1410 (489-2491)",65445,404,"1687 (751-2811)",29430,91,"937 (359-1540)"
"331.9","Cerebral degeneration, unspecified","Neurological",166290,121,"1405 (489-2485)",71334,42,"1413 (492-2493)",65995,43,"1693 (757-2816)",29574,38,"936 (357-1538)"
"332","Parkinson's disease","Neurological",165194,1166,"1402 (486-2483)",70883,530,"1407 (489-2488)",65278,725,"1684 (751-2808)",29275,197,"937 (358-1541)"
"333","Extrapyramidal disease and abnormal movement disorders","Neurological",166091,202,"1403 (487-2483)",71244,106,"1409 (490-2489)",65787,151,"1687 (751.5-2811)",29572,57,"936 (356-1538)"
"333.1","Essential tremor","Neurological",165485,746,"1400 (483-2478)",70998,311,"1405 (486-2483)",65376,498,"1677 (745-2800)",29411,171,"934 (356-1536)"
"333.2","Myoclonus","Neurological",166209,251,"1403 (488-2483)",71313,98,"1411 (491-2490)",65906,157,"1688 (752-2811)",29553,97,"936 (356-1538)"
"333.3","Tics and choreas","Neurological",166445,25,"1405 (489-2486)",71407,13,"1413 (491.5-2493)",66096,18,"1691 (755-2814)",29609,7,"937 (357-1539)"
"333.4","Torsion dystonia","Neurological",166203,291,"1403 (487-2483)",71302,124,"1410 (490-2488)",65905,168,"1686 (751-2810)",29545,64,"935 (357-1538)"
"333.8","Other degenerative diseases of the basal ganglia","Neurological",166322,42,"1405 (489-2485)",71341,19,"1413 (492-2493)",66023,18,"1692 (756-2814)",29580,32,"937 (357-1539)"
"334","Degenerative disease of the spinal cord","Neurological",166105,318,"1405 (488-2485)",71236,129,"1413 (492-2493)",65940,129,"1690 (754-2814)",29462,155,"936 (357-1538)"
"334.1","Spinocerebellar disease","Neurological",166399,39,"1405 (489-2485)",71385,17,"1413 (492-2493)",66055,18,"1690 (755-2813)",29590,15,"936 (357-1538)"
"334.2","Anterior horn cell disease","Neurological",166438,31,"1405 (489-2486)",71405,14,"1413 (492-2493)",66094,14,"1691 (755-2815)",29608,5,"937 (357-1539)"
"335","Multiple sclerosis","Neurological",166374,55,"1405 (489-2485)",71381,22,"1412 (491-2492)",66062,25,"1690 (754-2813)",29396,51,"935 (356-1537)"
"337","Disorders of the autonomic nervous system","Neurological",165734,755,"1398 (484-2478)",71101,319,"1406 (485-2484)",65763,353,"1682 (748-2806)",29473,101,"935 (356-1537)"
"338.1","Acute pain","Neurological",164868,3165,"1395 (479-2476)",70774,1260,"1399 (481-2480)",65504,1697,"1666 (732-2792)",28653,658,"920 (347-1521)"
"338.2","Chronic pain","Neurological",166433,122,"1405 (489-2485)",71397,51,"1412 (491-2493)",66090,60,"1690 (755-2813)",27120,1943,"892 (331-1495)"
"339","Other headache syndromes","Neurological",154701,5819,"1330 (434-2393)",66414,2500,"1339 (438-2395)",58773,3359,"1553 (629-2666)",26992,2265,"857 (318-1458)"
"340","Migraine","Neurological",162932,3454,"1371 (463-2449)",69894,1429,"1378 (466-2454)",63983,1723,"1636 (705-2760)",28297,723,"914 (345-1514)"
"340.1","Migrain with aura","Neurological",165343,798,"1396 (482-2475)",70920,359,"1401 (484-2478)",65339,699,"1668 (737-2792)",29536,76,"935 (356-1537)"
"341","Other demyelinating diseases of central nervous system","Neurological",166424,44,"1405 (489-2486)",71405,15,"1413 (492-2493)",66092,10,"1691 (755-2814)",29584,12,"936 (357-1538.25)"
"342","Hemiplegia","Neurological",164850,1280,"1401 (486-2481)",70744,517,"1408 (488-2488)",65448,395,"1690 (753-2814.25)",29190,393,"936 (358-1538)"
"344","Other paralytic syndromes","Neurological",165941,483,"1404 (488-2484)",71192,239,"1411 (490-2492)",65909,156,"1690 (753-2813)",29385,192,"936 (357-1537)"
"345","Epilepsy, recurrent seizures, convulsions","Neurological",165696,777,"1403 (487-2483)",71086,321,"1409 (489-2491)",65754,290,"1689 (753-2812)",28549,653,"926 (353-1526)"
"345.1","Epilepsy","Neurological",165304,1110,"1402 (486-2481)",70935,417,"1408 (489-2490)",65604,470,"1687 (750-2807)",29142,313,"932 (354-1531.75)"
"345.11","Generalized convulsive epilepsy","Neurological",165999,196,"1405 (489-2485)",71211,83,"1413 (492-2493)",65853,76,"1690 (756-2813)",29427,134,"934 (356-1536)"
"345.12","Partial epilepsy","Neurological",165887,570,"1402 (486-2483)",71168,210,"1410 (490-2490)",65780,287,"1687 (751-2811)",29333,152,"934 (355-1535)"
"345.3","Convulsions","Neurological",165897,722,"1403 (487-2485)",71181,286,"1411 (491-2492)",65908,310,"1688 (753-2813)",28817,573,"933 (356-1533)"
"346.2","Nonspecific abnormal results of function study of brain and central nervous system","Neurological",166349,47,"1405 (489-2485)",71352,11,"1413 (492-2492.25)",66034,18,"1691 (756-2814)",29604,18,"937 (357-1539)"
"348","Other conditions of brain","Neurological",166374,250,"1406 (489-2486)",71392,95,"1413 (492-2493)",66074,80,"1691 (756-2815)",29551,75,"937 (357-1539)"
"348.2","Cerebral edema and compression of brain","Neurological",166224,268,"1405 (489-2486)",71312,104,"1413 (491.75-2493)",66026,93,"1690 (754-2813.75)",29051,351,"942 (364-1543)"
"348.7","Coma","Neurological",165835,517,"1406 (490-2487)",71150,192,"1413 (492-2495)",65910,143,"1693 (759-2816)",29586,160,"936 (357-1538)"
"348.8","Encephalopathy, not elsewhere classified","Neurological",165087,1132,"1401 (486-2480)",70863,468,"1407 (489-2488)",65425,527,"1682 (749-2805)",28475,1111,"934 (359-1534)"
"348.9","Other conditions of brain, NOS","Neurological",166296,248,"1405 (489-2485)",71366,108,"1411 (491-2491)",66048,81,"1690 (756-2813)",29380,231,"936 (357-1537.25)"
"349","Other and unspecified disorders of the nervous system","Neurological",165238,951,"1402 (487-2483)",70886,416,"1407 (488-2488)",65204,489,"1688 (752-2811)",28596,1598,"931 (355-1531)"
"350.1","Abnormal involuntary movements","Neurological",165749,1412,"1395 (483-2474)",71116,553,"1401 (484-2481)",65489,1066,"1665 (735-2788)",29247,412,"931 (354-1530)"
"350.2","Abnormality of gait","Neurological",165138,919,"1396 (481-2473)",70860,379,"1402 (483-2481)",65194,635,"1669 (735-2791.75)",28802,777,"924 (352-1525.75)"
"350.3","Lack of coordination","Neurological",166270,127,"1404 (488-2484.75)",71337,52,"1413 (492-2492)",66000,45,"1690 (755-2813)",29294,244,"933 (355-1534)"
"350.6","Disturbances of sensation of smell and taste","Neurological",166340,206,"1404 (488-2484)",71377,89,"1411 (490-2491)",66059,90,"1688 (753-2811)",29599,20,"937 (357-1539)"
"351","Other peripheral nerve disorders","Neurological",163340,2396,"1379 (469-2453)",70036,976,"1384 (469-2460)",64103,1282,"1642 (712-2767)",28817,416,"928 (351-1528)"
"352","Disorders of other cranial nerves","Neurological",166388,54,"1405 (489-2485)",71387,24,"1412 (491-2493)",66060,24,"1690 (755-2813.25)",29594,6,"937 (357-1539)"
"352.1","Trigeminal nerve disorders [CN5]","Neurological",165823,629,"1400 (484-2479)",71145,253,"1406 (488-2485)",65703,346,"1681 (745-2803.5)",29552,53,"935 (356-1537)"
"352.2","Facial nerve disorders [CN7]","Neurological",165400,896,"1398 (483-2475)",70940,385,"1403 (484-2483)",65517,386,"1680 (746-2803)",29442,106,"935 (356-1537)"
"353","Nerve root and plexus disorders","Neurological",166164,121,"1404 (488-2483)",71291,56,"1410 (490-2489)",65815,125,"1687 (751-2808.5)",29589,29,"937 (357-1539)"
"353.1","Nerve plexus lesions","Neurological",165925,388,"1401 (486-2480)",71198,148,"1408 (489-2487)",65684,283,"1679.5 (745-2804)",29594,27,"936 (357-1538)"
"355","Complex regional/central pain syndrome","Neurological",166359,106,"1404 (488-2485)",71355,36,"1412 (491.5-2492)",66048,37,"1689.5 (754.75-2813.25)",29568,31,"936 (357-1538)"
"356","Hereditary and idiopathic peripheral neuropathy","Neurological",166140,167,"1404 (488-2483)",71281,82,"1410 (491-2490)",65775,109,"1688 (753-2811)",28863,247,"934 (355-1533)"
"357","Inflammatory and toxic neuropathy","Neurological",165269,1246,"1396 (482-2476)",70908,499,"1402.5 (483-2482)",65379,724,"1673 (738-2799.5)",29308,777,"928 (353-1530)"
"358","Myoneural disorders","Neurological",166441,32,"1405 (489-2486)",71404,11,"1413 (492-2493)",66089,18,"1691 (755-2814)",29610,10,"937 (357-1539)"
"358.1","Myasthenia gravis","Neurological",166212,141,"1404 (488-2484)",71339,43,"1412 (492-2492)",65964,55,"1688.5 (753-2813)",29544,19,"936 (356-1538)"
"359.1","Muscular dystrophies","Neurological",166386,48,"1405 (489-2486)",71395,19,"1412 (491-2493)",66092,18,"1691 (755-2814)",29589,11,"937 (357-1540)"
"359.2","Myopathy","Neurological",166184,216,"1403 (487-2484)",71282,87,"1410 (490-2489)",65902,131,"1687 (752-2810)",29503,74,"936 (357-1538)"
"361","Retinal detachments and defects","Sense organs",165787,512,"1402 (486-2482)",71134,223,"1407 (488-2487)",65900,168,"1685 (750-2809)",29594,23,"936 (357-1539)"
"362.29","Macular degeneration (senile) of retina NOS","Sense organs",164959,1211,"1397 (483-2476)",70787,505,"1402 (485-2480)",65125,666,"1676 (743-2800)",29359,144,"936 (357-1539)"
"362.3","Other nondiabetic retinopathy","Sense organs",166373,56,"1405 (489-2485)",71384,21,"1412 (491-2493)",66058,28,"1690 (755-2814)",29546,32,"936 (356-1538)"
"362.4","Retinal vascular changes and abnomalities","Sense organs",166078,348,"1403 (487-2483)",71239,126,"1410 (491-2491)",65912,146,"1687 (753-2811)",29565,52,"937 (357-1538)"
"362.8","Retinal hemorrhage/ischemia","Sense organs",166368,106,"1405 (489-2485)",71379,37,"1412 (491-2492)",66070,60,"1690 (754-2813)",29589,12,"937 (358-1539)"
"364","Corneal opacity and other disorders of cornea","Sense organs",166347,95,"1405 (488-2485)",71346,34,"1412 (491-2493)",66075,29,"1690 (754-2813)",29613,8,"937 (357-1539)"
"364.9","Cornea replaced by transplant","Sense organs",166375,47,"1405 (488-2485)",71372,22,"1412 (491-2493)",66080,16,"1691 (755-2814)",29593,12,"937 (357-1539)"
"365","Glaucoma","Sense organs",162717,2633,"1385 (475-2465)",69837,1078,"1394 (478-2468)",64521,1233,"1658 (725-2782)",28678,538,"933 (356-1537)"
"365.1","Open-angle glaucoma","Sense organs",165865,283,"1402 (486-2482)",71211,118,"1409 (489-2489)",65697,78,"1688 (752-2811)",29572,34,"936.5 (357-1538)"
"365.2","Primary angle-closure glaucoma","Sense organs",166121,172,"1404 (488-2484)",71271,55,"1411 (491-2492)",65946,75,"1688 (753-2812)",29599,17,"936 (357-1539)"
"366","Cataract","Sense organs",162993,2677,"1386 (476-2464)",69945,1077,"1393 (478-2468)",64078,1194,"1665 (731-2791.75)",29145,402,"931 (355-1532)"
"366.2","Senile cataract","Sense organs",156110,8467,"1333 (440-2400)",66996,3415,"1341 (444-2410)",59062,4433,"1557 (636-2676)",29597,21,"937 (357-1539)"
"367.9","Blindness and low vision","Sense organs",166381,147,"1405 (489-2485)",71388,56,"1412 (491-2493)",66084,59,"1690 (754-2814)",29138,270,"934 (357-1537)"
"368","Visual disturbances","Sense organs",166440,50,"1405 (489-2486)",71403,22,"1412 (492-2493)",66090,19,"1691 (755-2814)",29243,408,"929 (352-1530.5)"
"368.2","Diplopia and disorders of binocular vision","Sense organs",166231,245,"1404 (488-2484)",71327,90,"1411 (491-2491.5)",65983,100,"1690 (753-2813)",29436,167,"934 (355-1535)"
"368.4","Visual field defects","Sense organs",166258,168,"1404 (487-2484)",71332,67,"1411 (491-2491)",66017,88,"1689 (752-2812)",29451,121,"936 (356-1538)"
"368.9","Subjective visual disturbances","Sense organs",154929,6268,"1315 (428-2369)",66493,2698,"1322 (434-2376)",57015,5086,"1472 (566-2569)",29550,69,"935 (356-1537)"
"369","Infection of the eye","Sense organs",166065,256,"1403 (487-2483)",71267,104,"1410 (490-2490)",65906,108,"1687 (752-2813)",29598,24,"936 (357-1539)"
"369.2","Eye infection, viral","Sense organs",166164,394,"1403 (486-2482)",71270,142,"1409 (490-2489)",65935,222,"1686 (750-2809)",29559,67,"935 (357-1537)"
"369.5","Conjunctivitis, infectious","Sense organs",161783,2768,"1369 (463-2443)",69469,1131,"1378 (467-2449)",62686,1725,"1620 (693-2743)",29407,222,"933 (355-1533)"
"370.1","Corneal ulcer","Sense organs",166218,170,"1404 (488-2484)",71328,75,"1411 (490.75-2491)",66012,62,"1689 (753-2813)",29604,16,"936 (357-1539)"
"370.3","Keratoconjunctivitis","Sense organs",166342,145,"1405 (488-2484.75)",71361,68,"1411 (491-2492)",66040,70,"1689 (753-2812)",29592,6,"937 (357-1539)"
"371","Inflammation of the eye","Sense organs",166402,42,"1405 (489-2486)",71384,19,"1413 (492-2493)",66089,22,"1691 (755-2814)",29606,5,"937 (357-1539)"
"371.1","Uveitis, noninfectious or NOS","Sense organs",166038,221,"1403 (487-2483)",71219,97,"1411 (491-2491)",65888,105,"1687 (752-2810)",29566,35,"935 (356-1537)"
"371.3","Inflammation of eyelids","Sense organs",164171,2116,"1384 (473-2461)",70467,885,"1391 (474-2467)",63712,2087,"1627 (697-2744)",29561,75,"935 (357-1537)"
"372","Disorders of conjunctiva","Sense organs",164625,1499,"1390 (478-2467)",70630,576,"1398 (482-2475.75)",64842,982,"1660 (725-2784)",29514,102,"935 (357-1537)"
"374","Other disorders of eyelids","Sense organs",166231,228,"1403 (487-2484)",71311,68,"1411 (490-2491)",65966,102,"1688 (753-2811)",29603,17,"937 (357-1539)"
"374.3","Ptosis of eyelid","Sense organs",166119,393,"1402 (487-2483)",71281,165,"1410 (490-2488)",65932,174,"1685 (751-2807)",29527,86,"936 (357-1539)"
"375.1","Dry eyes","Sense organs",158142,8571,"1320 (433-2387)",67922,3459,"1330 (438-2398)",60950,4035,"1551 (632-2672)",29550,98,"935 (356-1537)"
"377","Disorders of optic nerve and visual pathways","Sense organs",166393,78,"1405 (489-2485)",71390,33,"1412 (491-2492)",66076,25,"1691 (755-2814)",29593,11,"937 (357-1539)"
"377.3","Optic neuritis/neuropathy","Sense organs",166273,161,"1404 (488-2485)",71339,70,"1412 (491-2492)",66053,75,"1690 (754-2813)",29560,31,"936 (357-1538)"
"378","Strabismus and other disorders of binocular eye movements","Sense organs",166401,51,"1405 (489-2486)",71403,19,"1413 (492-2493)",66093,24,"1690 (755-2813)",29587,25,"937 (357-1539.5)"
"378.1","Strabismus (not specified as paralytic)","Sense organs",166216,175,"1404 (488-2484)",71295,75,"1412 (491-2491)",66028,74,"1689 (753.75-2812)",29588,21,"936 (357-1538.25)"
"378.5","Paralytic strabismus","Sense organs",166246,174,"1405 (489-2484)",71323,84,"1411 (491-2491)",66030,71,"1689 (753-2812.75)",29541,69,"936 (357-1538)"
"379","Other disorders of eye","Sense organs",165429,381,"1400 (484-2478)",70977,141,"1407 (489-2486)",65307,333,"1679 (745-2801)",29575,47,"936 (356-1538)"
"379.2","Disorders of vitreous body","Sense organs",161265,3935,"1366 (463-2443)",69235,1656,"1376 (465-2450)",62594,1985,"1619 (693-2736)",29553,79,"935 (357-1537)"
"379.9","Pain, swelling or discharge of eye","Sense organs",166360,235,"1404 (488-2484)",71371,76,"1412 (491-2493)",66070,54,"1690 (754-2813)",29488,165,"933 (355-1535)"
"380.1","Otitis externa","Sense organs",163595,2165,"1384 (472-2461.5)",70191,863,"1390 (474-2463)",63450,1606,"1635 (703-2758)",29521,103,"934 (356-1536)"
"380.4","Impacted cerumen","Sense organs",164932,1168,"1395 (481-2472)",70753,500,"1400 (482-2479)",64757,892,"1662 (731-2786)",29550,100,"935 (356-1537)"
"381.1","Otitis media","Sense organs",165466,613,"1400 (485-2479)",70998,243,"1405 (487-2483)",65517,318,"1679 (746-2801)",29608,8,"937 (357-1539)"
"381.11","Suppurative and unspecified otitis media","Sense organs",165128,751,"1399 (484-2477)",70866,294,"1406 (489-2484)",65503,359,"1680 (747-2805)",29501,125,"934 (356-1536)"
"381.3","Mastoiditis & related conditions","Sense organs",166397,36,"1405 (489-2486)",71375,15,"1413 (492-2493)",66086,13,"1690 (755-2813)",29604,16,"937 (357-1539)"
"386.1","Meniere's disease","Sense organs",165261,1075,"1396 (482-2474)",70925,404,"1401 (484-2480)",65273,714,"1671 (736-2795)",29570,29,"936 (357-1538)"
"386.2","Peripheral or central vertigo","Sense organs",159361,4134,"1354 (452-2421)",68373,1693,"1359 (454-2426)",61961,2120,"1609 (684-2723)",29271,321,"929 (353-1529.5)"
"386.9","Dizziness and giddiness (Light-headedness and vertigo)","Sense organs",148475,9469,"1303 (420-2367)",63877,3903,"1313 (423-2379)",56179,4529,"1543 (623-2662)",27608,2014,"880 (329-1479)"
"389","Hearing loss","Sense organs",165025,1097,"1399 (483-2476)",70831,468,"1402 (484-2481.5)",65495,668,"1674 (741-2799)",29120,417,"934 (355-1536)"
"389.1","Sensorineural hearing loss","Sense organs",160787,4829,"1362 (459-2434)",68974,2042,"1364 (458-2435.75)",62611,2397,"1620 (695-2742)",29529,98,"936 (357-1537)"
"389.2","Conductive hearing loss","Sense organs",165782,567,"1401.5 (486-2480)",71142,233,"1408 (490-2486)",65884,275,"1684 (750-2807)",29607,9,"936 (357-1539)"
"389.4","Tinnitus","Sense organs",162531,3015,"1372 (465-2447)",69710,1324,"1376 (464-2446)",63647,1531,"1635 (706-2755.5)",29553,82,"935 (356-1537)"
"394","Rheumatic disease of the heart valves","Circulatory system",165881,1036,"1403 (486-2485)",71146,426,"1411 (490-2492)",65861,474,"1689 (753-2813)",29544,489,"932.5 (356-1536)"
"394.1","Mitral valve stenosis and aortic valve stenosis","Circulatory system",166151,406,"1405 (489-2486)",71283,174,"1413 (492-2493)",65984,162,"1691 (756-2815)",29298,297,"934 (356-1537)"
"394.2","Mitral valve disease","Circulatory system",166238,210,"1404 (488-2485)",71327,93,"1411 (490.5-2493)",65995,97,"1690 (755-2814)",29555,52,"937 (357-1538)"
"394.3","Aortic valve disease","Circulatory system",166386,87,"1405 (489-2485.75)",71389,40,"1412 (492-2493)",66078,44,"1691 (755-2814)",29604,9,"937 (357-1539)"
"394.4","Acute rheumatic heart disease","Circulatory system",166121,89,"1405 (489-2485)",71273,46,"1411 (491-2491)",65974,37,"1690 (755-2813)",29573,13,"937 (357-1539)"
"394.7","Disease of tricuspid valve","Circulatory system",166073,378,"1405 (489-2485)",71265,154,"1412 (492-2493)",65891,184,"1691 (756-2816)",29255,321,"934 (356-1537)"
"395.1","Nonrheumatic mitral valve disorders","Circulatory system",162304,1707,"1392 (478-2465)",69717,679,"1397 (481-2472)",63412,968,"1665.5 (735-2786)",28460,712,"929 (354-1525)"
"395.2","Nonrheumatic aortic valve disorders","Circulatory system",165350,828,"1403 (488-2483.75)",70951,339,"1411 (490-2491)",65337,440,"1691 (754-2813)",28651,506,"935 (357-1538)"
"395.3","Nonrheumatic tricuspid valve disorders","Circulatory system",164824,735,"1399 (484-2474)",70723,266,"1406 (487-2483)",64735,538,"1676 (743-2799)",29536,84,"936.5 (357-1539)"
