"phenotype","PhecodeString","group","training.case","training.ctrl","internal.case","internal.ctrl","external.case","external.ctrl","MIMIC_png.case","MIMIC_png.ctrl"
"317.1","Alcoholism","Mental disorders",471,211458,179,90382,98,79405,2107,56313
"317.11","Alcoholic liver damage","Mental disorders",501,211482,194,90401,92,79363,671,59003
"318","Tobacco use disorder","Mental disorders",266,212032,120,90611,98,79381,9522,43072
"320","Meningitis","Neurological",191,212371,79,90761,64,79643,180,59985
"323","Encephalitis","Neurological",72,212584,24,90850,16,79729,46,60212
"323.8","Encephalitis, non-infectious","Neurological",92,212575,47,90836,22,79742,61,60191
"324","Other CNS infection and poliomyelitis","Neurological",155,212413,55,90775,49,79666,218,59900
"327","Sleep disorders","Neurological",976,205132,400,87709,465,74105,41,60189
"327.3","Sleep apnea","Neurological",713,209507,320,89553,318,77758,236,59659
"327.32","Obstructive sleep apnea","Neurological",509,211793,202,90554,181,79311,1781,56022
"327.4","Insomnia","Neurological",1830,204660,798,87378,801,74065,1227,57860
"327.5","Parasomnia","Neurological",19,212641,9,90881,5,79735,21,60240
"327.6","Circadian rhythm sleep disorder","Neurological",51,212434,25,90785,28,79577,15,60263
"327.71","Restless legs syndrome","Neurological",36,212538,13,90829,20,79664,216,59757
"331","Other cerebral degenerations","Neurological",231,211425,118,90338,91,79037,29,60238
"331.1","Hydrocephalus","Neurological",440,211426,178,90377,127,79030,347,59805
"331.9","Cerebral degeneration, unspecified","Neurological",66,212479,24,90806,26,79651,46,60208
"332","Parkinson's disease","Neurological",418,211163,188,90269,174,78862,364,59575
"333","Extrapyramidal disease and abnormal movement disorders","Neurological",48,212278,34,90713,25,79441,42,60202
"333.1","Essential tremor","Neurological",187,211608,82,90431,76,78980,161,59920
"333.2","Myoclonus","Neurological",66,212409,32,90784,29,79558,76,60140
"333.3","Tics and choreas","Neurological",19,212677,6,90891,5,79765,8,60267
"333.4","Torsion dystonia","Neurological",47,212416,23,90780,24,79565,51,60165
"333.8","Other degenerative diseases of the basal ganglia","Neurological",23,212526,12,90823,11,79682,37,60209
"334","Degenerative disease of the spinal cord","Neurological",198,212272,90,90689,47,79578,184,59966
"334.1","Spinocerebellar disease","Neurological",33,212617,18,90861,16,79715,16,60235
"334.2","Anterior horn cell disease","Neurological",19,212665,12,90885,5,79761,10,60266
"335","Multiple sclerosis","Neurological",52,212594,20,90865,18,79725,182,59884
"337","Disorders of the autonomic nervous system","Neurological",268,211877,119,90554,100,79403,94,60051
"338.1","Acute pain","Neurological",1112,210703,422,90088,356,79034,512,58835
"338.2","Chronic pain","Neurological",15,212661,11,90881,6,79756,1730,56320
"339","Other headache syndromes","Neurological",3387,198995,1418,85113,1574,71508,1951,56108
"340","Migraine","Neurological",599,208767,294,89217,267,77517,870,58159
"340.1","Migrain with aura","Neurological",160,211477,83,90368,95,78966,69,60152
"341","Other demyelinating diseases of central nervous system","Neurological",40,212644,12,90888,10,79760,27,60229
"342","Hemiplegia","Neurological",957,210734,378,90087,216,79040,880,59149
"344","Other paralytic syndromes","Neurological",369,212036,151,90611,87,79546,262,59817
"345","Epilepsy, recurrent seizures, convulsions","Neurological",419,211739,193,90480,112,79370,950,58336
"345.1","Epilepsy","Neurological",688,211211,306,90290,171,79196,501,59414
"345.11","Generalized convulsive epilepsy","Neurological",219,212131,85,90655,59,79481,145,59977
"345.12","Partial epilepsy","Neurological",246,212003,128,90612,85,79425,179,59847
"345.3","Convulsions","Neurological",456,211930,192,90575,104,79548,1010,58646
"346.2","Nonspecific abnormal results of function study of brain and central nervous system","Neurological",13,212561,9,90832,9,79693,14,60254
"348","Other conditions of brain","Neurological",182,212498,69,90827,23,79732,269,59975
"348.2","Cerebral edema and compression of brain","Neurological",236,212358,96,90756,45,79682,1132,58744
"348.7","Coma","Neurological",654,211765,264,90517,143,79505,155,60113
"348.8","Encephalopathy, not elsewhere classified","Neurological",675,210961,284,90198,159,78983,1583,57829
"348.9","Other conditions of brain, NOS","Neurological",181,212430,61,90809,42,79709,359,59726
"349","Other and unspecified disorders of the nervous system","Neurological",275,211244,130,90296,128,78780,1499,58076
"350.1","Abnormal involuntary movements","Neurological",203,211907,83,90566,95,79114,324,59649
"350.2","Abnormality of gait","Neurological",163,211225,77,90289,109,78800,718,58832
"350.3","Lack of coordination","Neurological",65,212472,32,90815,22,79661,352,59666
"350.6","Disturbances of sensation of smell and taste","Neurological",40,212560,14,90859,8,79727,22,60250
"351","Other peripheral nerve disorders","Neurological",455,209258,198,89387,145,77676,420,59085
"352","Disorders of other cranial nerves","Neurological",35,212604,12,90869,14,79725,23,60241
"352.1","Trigeminal nerve disorders [CN5]","Neurological",93,211989,35,90597,31,79351,54,60168
"352.2","Facial nerve disorders [CN7]","Neurological",266,211482,115,90370,86,79137,136,59990
"353","Nerve root and plexus disorders","Neurological",23,212369,8,90768,9,79465,10,60245
"353.1","Nerve plexus lesions","Neurological",69,212113,31,90663,29,79326,26,60229
"355","Complex regional/central pain syndrome","Neurological",24,212589,17,90837,6,79718,29,60210
"356","Hereditary and idiopathic peripheral neuropathy","Neurological",75,212322,27,90740,37,79420,398,59098
"357","Inflammatory and toxic neuropathy","Neurological",358,211340,138,90315,111,78994,345,59743
"358","Myoneural disorders","Neurological",21,212670,6,90889,10,79758,8,60268
"358.1","Myasthenia gravis","Neurological",100,212407,27,90810,35,79623,57,60166
"359.1","Muscular dystrophies","Neurological",61,212611,20,90879,11,79759,19,60239
"359.2","Myopathy","Neurological",85,212376,47,90744,39,79556,95,60091
"361","Retinal detachments and defects","Sense organs",268,211957,119,90591,21,79561,13,60245
"362.29","Macular degeneration (senile) of retina NOS","Sense organs",176,211003,75,90204,59,78702,254,59786
"362.3","Other nondiabetic retinopathy","Sense organs",40,212595,13,90865,12,79722,31,60194
"362.4","Retinal vascular changes and abnomalities","Sense organs",112,212260,52,90706,34,79566,43,60185
"362.8","Retinal hemorrhage/ischemia","Sense organs",28,212590,6,90860,8,79735,15,60243
"364","Corneal opacity and other disorders of cornea","Sense organs",42,212558,15,90826,5,79742,5,60273
"364.9","Cornea replaced by transplant","Sense organs",58,212605,19,90855,9,79749,18,60240
"365","Glaucoma","Sense organs",1091,208629,436,89189,181,78103,792,58561
"365.1","Open-angle glaucoma","Sense organs",47,212044,27,90661,13,79344,54,60196
"365.2","Primary angle-closure glaucoma","Sense organs",115,212324,38,90742,12,79600,14,60251
"366","Cataract","Sense organs",679,208810,294,89263,148,77604,392,59432
"366.2","Senile cataract","Sense organs",1664,201228,690,86025,428,72256,18,60252
"367.9","Blindness and low vision","Sense organs",60,212602,24,90864,17,79749,402,59431
"368","Visual disturbances","Sense organs",18,212674,10,90889,6,79758,307,59656
"368.2","Diplopia and disorders of binocular vision","Sense organs",123,212429,43,90802,45,79648,191,59928
"368.4","Visual field defects","Sense organs",72,212459,38,90805,21,79684,189,59956
"368.9","Subjective visual disturbances","Sense organs",1469,200040,648,85470,653,70157,67,60161
"369","Infection of the eye","Sense organs",126,212245,58,90723,26,79564,5,60254
"369.2","Eye infection, viral","Sense organs",89,212348,49,90739,28,79592,28,60201
"369.5","Conjunctivitis, infectious","Sense organs",450,207530,175,88744,205,76159,153,59929
"370.1","Corneal ulcer","Sense organs",40,212424,14,90801,5,79673,5,60267
"370.3","Keratoconjunctivitis","Sense organs",23,212555,10,90842,9,79702,7,60255
"371","Inflammation of the eye","Sense organs",51,212625,25,90867,7,79755,13,60259
"371.1","Uveitis, noninfectious or NOS","Sense organs",126,212226,63,90691,35,79543,25,60206
"371.3","Inflammation of eyelids","Sense organs",159,210165,69,89867,150,77242,21,60201
"372","Disorders of conjunctiva","Sense organs",236,210677,92,90045,78,78441,91,60103
"374","Other disorders of eyelids","Sense organs",58,212435,29,90784,26,79620,11,60255
"374.3","Ptosis of eyelid","Sense organs",107,212304,37,90747,33,79583,120,60100
"375.1","Dry eyes","Sense organs",1081,203670,440,87120,318,74406,51,60174
"377","Disorders of optic nerve and visual pathways","Sense organs",39,212616,20,90871,10,79745,18,60241
"377.3","Optic neuritis/neuropathy","Sense organs",81,212480,42,90819,17,79720,43,60192
"378","Strabismus and other disorders of binocular eye movements","Sense organs",51,212622,14,90886,10,79757,47,60217
"378.1","Strabismus (not specified as paralytic)","Sense organs",102,212399,52,90755,16,79691,24,60231
"378.5","Paralytic strabismus","Sense organs",119,212448,52,90791,25,79689,107,60113
"379","Other disorders of eye","Sense organs",85,211533,43,90421,41,78919,20,60224
"379.2","Disorders of vitreous body","Sense organs",885,207031,406,88512,163,76057,38,60180
"379.9","Pain, swelling or discharge of eye","Sense organs",45,212576,17,90855,7,79737,56,60114
"380.1","Otitis externa","Sense organs",300,209498,109,89567,141,76961,41,60154
"380.4","Impacted cerumen","Sense organs",137,210998,56,90166,82,78318,39,60181
"381.1","Otitis media","Sense organs",172,211563,57,90428,67,79139,5,60268
"381.11","Suppurative and unspecified otitis media","Sense organs",406,211219,177,90276,93,79120,60,60120
"381.3","Mastoiditis & related conditions","Sense organs",58,212623,31,90856,11,79754,11,60260
"386.1","Meniere's disease","Sense organs",170,211392,79,90362,97,78892,37,60204
"386.2","Peripheral or central vertigo","Sense organs",1368,204785,584,87526,497,75329,209,59757
"386.9","Dizziness and giddiness (Light-headedness and vertigo)","Sense organs",7314,191051,3041,81861,2746,68350,1641,57035
"389","Hearing loss","Sense organs",593,211047,264,90232,97,79120,511,59347
"389.1","Sensorineural hearing loss","Sense organs",818,206298,387,88199,281,76025,85,60134
"389.2","Conductive hearing loss","Sense organs",227,211943,110,90587,39,79537,11,60261
"389.4","Tinnitus","Sense organs",566,208370,234,89049,171,77190,49,60171
"394","Rheumatic disease of the heart valves","Circulatory system",470,211950,227,90554,139,79491,107,60140
"394.1","Mitral valve stenosis and aortic valve stenosis","Circulatory system",212,212311,89,90731,71,79614,293,59693
"394.2","Mitral valve disease","Circulatory system",143,212441,60,90806,55,79648,63,60176
"394.3","Aortic valve disease","Circulatory system",74,212601,17,90867,19,79745,8,60263
"394.4","Acute rheumatic heart disease","Circulatory system",183,212301,72,90745,29,79632,22,60209
"394.7","Disease of tricuspid valve","Circulatory system",236,212188,89,90703,93,79514,396,59577
"395.1","Nonrheumatic mitral valve disorders","Circulatory system",1625,207904,697,88932,859,76755,945,58275
"395.2","Nonrheumatic aortic valve disorders","Circulatory system",525,211347,225,90325,209,78880,858,58478
"395.3","Nonrheumatic tricuspid valve disorders","Circulatory system",607,210824,264,90112,450,78236,50,60144
"395.4","Nonrheumatic pulmonary valve disorders","Circulatory system",93,212510,29,90841,47,79667,6,60266
"395.6","Heart valve replaced","Circulatory system",89,212500,36,90833,31,79675,499,59300
"396","Abnormal heart sounds","Circulatory system",157,212386,64,90778,46,79693,121,60064
"401.1","Essential hypertension","Circulatory system",11931,184870,5078,79004,3324,66097,13212,32537
"401.2","Hypertensive heart and/or renal disease","Circulatory system",880,210765,383,90094,339,78901,304,59780
"401.21","Hypertensive heart disease","Circulatory system",12254,178915,5238,76494,4630,59916,240,59913
"401.22","Hypertensive chronic kidney disease","Circulatory system",603,210860,269,90135,210,78857,2993,53281
"401.3","Other hypertensive complications","Circulatory system",528,211574,242,90382,212,79129,102,60004
"411.1","Unstable angina (intermediate coronary syndrome)","Circulatory system",381,211800,133,90550,134,79316,565,59078
"411.2","Myocardial infarction","Circulatory system",1794,209501,763,89512,485,78477,2949,54716
"411.3","Angina pectoris","Circulatory system",4394,199611,1918,85304,1951,71160,343,59230
"411.4","Coronary atherosclerosis","Circulatory system",5571,201409,2376,86049,1946,74436,5096,49532
"411.8","Other chronic ischemic heart disease, unspecified","Circulatory system",686,210597,261,90070,259,78448,429,59356
"411.9","Other acute and subacute forms of ischemic heart disease","Circulatory system",261,212314,124,90717,61,79633,611,59337
"414","Other forms of chronic heart disease","Circulatory system",290,212244,136,90685,74,79616,193,59837
"415.1","Acute pulmonary heart disease","Circulatory system",64,212624,23,90872,23,79747,11,60268
"415.11","Pulmonary embolism and infarction, acute","Circulatory system",333,212053,120,90642,128,79362,766,58950
"415.2","Chronic pulmonary heart disease","Circulatory system",331,212110,158,90629,133,79418,1337,57586
"415.21","Primary pulmonary hypertension","Circulatory system",80,212543,36,90843,31,79701,21,60175
"416","Cardiomegaly","Circulatory system",243,212154,97,90704,136,79360,110,60077
"418","Nonspecific chest pain","Circulatory system",14447,183671,6208,78628,6535,64605,8485,46531
"420.1","Myocarditis","Circulatory system",95,212553,39,90859,26,79722,50,60206
"420.2","Pericarditis","Circulatory system",240,212288,80,90753,67,79639,489,59507
"420.21","Acute pericarditis","Circulatory system",62,212593,30,90863,23,79712,191,59983
"420.22","Chronic pericarditis","Circulatory system",43,212637,9,90884,13,79753,83,60133
"420.3","Endocarditis","Circulatory system",181,212358,86,90756,51,79660,192,59966
"425.1","Primary/intrinsic cardiomyopathies","Circulatory system",230,212250,100,90735,49,79636,676,58658
"425.11","Hypertrophic obstructive cardiomyopathy","Circulatory system",25,212626,8,90871,8,79725,32,60178
"425.2","Secondary/extrinsic cardiomyopathies","Circulatory system",40,212570,27,90848,25,79686,90,60053
"426.2","Atrioventricular [AV] block","Circulatory system",49,212616,14,90869,21,79735,37,60221
"426.21","First degree AV block","Circulatory system",30,212614,8,90872,12,79748,156,60001
"426.23","Second degree AV block","Circulatory system",54,212625,15,90878,20,79737,172,59978
"426.24","Atrioventricular block, complete","Circulatory system",135,212460,49,90806,47,79631,302,59811
"426.31","Right bundle branch block","Circulatory system",56,212594,20,90859,22,79701,325,59725
"426.32","Left bundle branch block","Circulatory system",29,212650,13,90885,11,79749,392,59582
"426.7","Abnormal electrocardiogram [ECG] [EKG]","Circulatory system",173,212292,63,90743,119,79446,528,59289
"426.91","Cardiac pacemaker in situ","Circulatory system",221,212138,105,90665,88,79430,726,58718
"427.1","Paroxysmal tachycardia, unspecified","Circulatory system",215,212069,93,90657,88,79480,13,60253
"427.11","Paroxysmal supraventricular tachycardia","Circulatory system",365,211953,165,90591,105,79438,384,59727
"427.12","Paroxysmal ventricular tachycardia","Circulatory system",227,212363,77,90785,63,79622,701,59067
"427.21","Atrial fibrillation","Circulatory system",2154,208277,940,89027,735,77490,4803,51603
"427.22","Atrial flutter","Circulatory system",395,212025,175,90584,146,79445,720,58858
"427.3","Other specified cardiac dysrhythmias","Circulatory system",405,212003,157,90603,126,79474,2105,56119
"427.41","Ventricular fibrillation and flutter","Circulatory system",110,212567,43,90853,18,79736,174,60033
"427.42","Cardiac arrest","Circulatory system",769,211835,320,90552,136,79587,741,59342
"427.5","Arrhythmia (cardiac) NOS","Circulatory system",2053,206167,871,88177,1208,75114,40,60198
"427.6","Premature beats","Circulatory system",214,212241,69,90725,61,79574,128,60035
"427.61","Supraventricular premature beats","Circulatory system",67,212556,28,90839,26,79707,39,60214
"427.7","Tachycardia NOS","Circulatory system",378,211946,154,90592,152,79397,1519,57817
"427.8","Sinoatrial node dysfunction (Bradycardia)","Circulatory system",221,212162,99,90676,93,79443,268,59679
"427.9","Palpitations","Circulatory system",2948,205774,1270,88020,1366,76013,969,58718
"428.1","Congestive heart failure (CHF) NOS","Circulatory system",2471,208055,1069,88918,898,77435,3419,52948
"428.2","Heart failure NOS","Circulatory system",310,211905,134,90575,116,79383,86,60137
"428.3","Heart failure with reduced EF [Systolic or combined heart failure]","Circulatory system",955,210944,397,90162,357,78919,1882,56554
"428.4","Heart failure with preserved EF [Diastolic heart failure]","Circulatory system",158,212430,60,90796,60,79621,2000,56041
"429.1","Heart transplant/surgery","Circulatory system",65,212540,18,90857,15,79727,66,60151
"430","Intracranial hemorrhage","Circulatory system",598,211882,231,90576,121,79537,183,60064
"430.1","Subarachnoid hemorrhage","Circulatory system",517,211946,189,90594,88,79549,327,59879
"430.2","Intracerebral hemorrhage","Circulatory system",1572,210245,626,89910,285,79053,807,59272
"430.3","Subdural hemorrhage","Circulatory system",401,211965,171,90608,137,79453,299,59870
"433","Cerebrovascular disease","Circulatory system",285,212215,134,90684,59,79600,193,59984
"433.1","Occlusion and stenosis of precerebral arteries","Circulatory system",541,211310,246,90280,159,79023,508,59229
"433.11","Occlusion of cerebral arteries, with cerebral infarction","Circulatory system",992,210865,407,90143,238,79122,200,60000
"433.12","Cerebral atherosclerosis","Circulatory system",128,212291,70,90706,56,79460,247,59859
"433.2","Occlusion of cerebral arteries","Circulatory system",1855,206485,802,88293,554,76359,23,60224
"433.21","Cerebral artery occlusion, with cerebral infarction","Circulatory system",2966,207171,1214,88576,691,77814,1442,58193
"433.3","Cerebral ischemia","Circulatory system",239,212234,98,90686,57,79611,22,60241
"433.31","Transient cerebral ischemia","Circulatory system",1688,207343,682,88674,541,76831,2045,56376
"433.5","Cerebral aneurysm","Circulatory system",173,212422,63,90793,34,79690,138,60017
"433.8","Late effects of cerebrovascular disease","Circulatory system",1808,209007,796,89321,523,78149,852,58648
"440","Atherosclerosis","Circulatory system",196,211904,76,90544,71,79228,62,60120
"440.2","Atherosclerosis of the extremities","Circulatory system",347,211731,154,90477,80,79129,273,59414
"440.21","Atherosclerosis of native arteries of the extremities with ulceration or gangrene","Circulatory system",112,212485,56,90816,20,79712,159,59700
"440.22","Atherosclerosis of native arteries of the extremities with intermittent claudication","Circulatory system",93,212297,40,90725,43,79418,69,59874
"440.9","Atherosclerosis of aorta","Circulatory system",180,212395,80,90771,40,79659,113,60035
"441","Vascular insufficiency of intestine","Circulatory system",58,212595,36,90859,22,79735,130,60037
"441.1","Acute vascular insufficiency of intestine","Circulatory system",77,212600,26,90867,21,79744,186,59953
"442.1","Aortic aneurysm","Circulatory system",333,212106,171,90600,89,79546,286,59798
"442.11","Abdominal aortic aneurysm","Circulatory system",131,212420,66,90786,38,79648,331,59597
"442.2","Aneurysm of iliac artery","Circulatory system",17,212682,12,90894,6,79773,39,60197
"442.4","Arterial dissection","Circulatory system",39,212656,8,90894,7,79767,126,60090
"442.8","Aneurysm of other specified artery","Circulatory system",48,212617,30,90847,19,79719,93,60108
"443.1","Raynaud's syndrome","Circulatory system",75,211870,33,90554,37,79131,112,60031
"443.8","Other specified peripheral vascular diseases","Circulatory system",91,212518,38,90820,21,79713,22,60238
"443.9","Peripheral vascular disease, unspecified","Circulatory system",313,210865,138,90154,114,78609,854,58266
"444","Arterial embolism and thrombosis","Circulatory system",91,212402,37,90789,37,79646,167,59986
"444.1","Arterial embolism and thrombosis of lower extremity artery","Circulatory system",344,211891,157,90519,90,79468,124,60035
"444.5","Atheroembolism","Circulatory system",22,212649,7,90881,7,79749,12,60258
"446.5","Giant cell arteritis","Circulatory system",86,212141,36,90686,54,79358,60,60149
"446.9","Arteritis NOS","Circulatory system",42,212611,18,90868,16,79732,41,60187
"447","Other disorders of arteries and arterioles","Circulatory system",145,212409,62,90788,43,79670,96,60077
"447.1","Stricture of artery","Circulatory system",36,212632,17,90876,8,79762,72,60138
"450","Noninfectious disorders of lymphatic channels","Circulatory system",92,212455,28,90810,32,79644,128,59966
"451","Phlebitis and thrombophlebitis","Circulatory system",94,212471,38,90814,24,79676,189,59859
"451.2","Phlebitis and thrombophlebitis of lower extremities","Circulatory system",264,211731,111,90503,152,78891,29,60207
"452","Other venous embolism and thrombosis","Circulatory system",505,210835,190,90130,214,78412,1468,57048
"452.2","Deep vein thrombosis [DVT]","Circulatory system",419,211637,162,90457,158,79140,830,58671
"454","Varicose veins","Circulatory system",251,211774,128,90488,70,79395,95,60058
"454.1","Varicose veins of lower extremity","Circulatory system",205,211939,90,90581,56,79325,36,60185
"454.11","Varicose veins of lower extremity, symptomtic","Circulatory system",409,211685,148,90490,109,79343,18,60234
"455","Hemorrhoids","Circulatory system",2464,197730,1044,84581,864,70909,428,59001
"456","Chronic venous insufficiency [CVI]","Circulatory system",96,212425,57,90776,48,79616,421,59145
"458.1","Orthostatic hypotension","Circulatory system",286,211824,119,90554,107,79396,772,58555
"458.2","Iatrogenic hypotension","Circulatory system",31,212647,15,90882,17,79746,1014,58324
"458.9","Hypotension NOS","Circulatory system",504,211625,182,90484,171,79270,2178,56673
"459","Other disorders of circulatory system","Circulatory system",51,212619,22,90869,18,79739,84,60104
"459.1","Hemorrhage NOS","Circulatory system",81,212486,27,90843,28,79693,59,60177
"459.7","Blood vessel replaced","Circulatory system",31,212661,17,90880,10,79761,41,60219
"459.9","Circulatory disease NEC","Circulatory system",315,212110,120,90648,83,79564,273,59798
"464","Acute sinusitis","Respiratory",746,208983,345,89340,472,76999,104,60061
"465","Acute upper respiratory infections of multiple or unspecified sites","Respiratory",6373,187376,2649,80347,4886,60014,1105,58316
"465.2","Acute pharyngitis","Respiratory",920,210191,394,89839,673,77521,348,59586
"465.4","Acute laryngitis and tracheitis","Respiratory",15,212499,7,90805,20,79496,36,60208
"470","Septal Deviations/Turbinate Hypertrophy","Respiratory",976,209543,406,89639,243,78407,18,60253
"471","Nasal polyps","Respiratory",319,211689,143,90501,94,79382,9,60258
"472","Chronic pharyngitis and nasopharyngitis","Respiratory",1388,206438,600,88348,401,76407,34,60212
"473","Diseases of the larynx and vocal cords","Respiratory",477,210562,182,90064,118,78619,117,60063
"473.3","Paralysis/spasm of vocal cords or larynx","Respiratory",139,212326,71,90741,39,79621,105,60114
"473.4","Voice disturbance","Respiratory",270,211840,119,90552,90,79388,111,60112
"474","Acute and chronic tonsillitis","Respiratory",206,212404,95,90776,42,79704,9,60240
"474.1","Acute tonsillitis","Respiratory",1881,207483,787,88763,1196,76033,12,60238
"474.2","Chronic tonsillitis and adenoiditis","Respiratory",214,212116,83,90692,45,79537,5,60269
"475","Chronic sinusitis","Respiratory",674,209997,312,89770,187,78531,237,59754
"475.9","Postnasal drip","Respiratory",36,212585,21,90842,33,79666,25,60232
"476","Allergic rhinitis","Respiratory",3972,195759,1644,83731,2132,68619,226,59805
"477","Epistaxis or throat hemorrhage","Respiratory",421,210553,171,89966,128,78534,267,59641
"478","Throat pain","Respiratory",789,210017,348,89780,443,77567,67,60137
"479","Other upper respiratory disease","Respiratory",776,210105,303,89819,334,78111,444,59453
"480","Pneumonia","Respiratory",15799,183386,6613,78630,4545,68099,4520,52792
"480.1","Bacterial pneumonia","Respiratory",1591,210137,662,89818,666,78358,740,59026
"480.11","Pneumococcal pneumonia","Respiratory",204,212388,104,90758,60,79661,59,60189
"480.12","Pseudomonal pneumonia","Respiratory",126,212487,41,90822,51,79657,82,60147
"480.13","MRSA pneumonia","Respiratory",66,212601,37,90857,24,79733,110,60127
"480.2","Viral pneumonia","Respiratory",3707,208167,1475,89092,717,78698,57,60153
"480.3","Pneumonia due to fungus (mycoses)","Respiratory",149,212489,53,90821,43,79699,82,60124
"480.5","Bronchopneumonia and lung abscess","Respiratory",3371,206216,1398,88161,1992,75327,71,60158
"481","Influenza","Respiratory",7764,198218,3345,84749,4723,70924,704,59206
"483","Acute bronchitis and bronchiolitis","Respiratory",3946,199655,1698,85482,2878,68027,296,59643
"495","Asthma","Respiratory",2689,206332,1072,88246,1563,75226,2109,55222
"495.1","Chronic obstructive asthma","Respiratory",240,211782,107,90512,129,79135,339,59322
"495.11","Chronic obstructive asthma with exacerbation","Respiratory",163,212120,82,90671,84,79387,137,59837
"495.2","Asthma with exacerbation","Respiratory",774,210877,336,90121,470,78258,756,58903
"496","Chronic airway obstruction","Respiratory",2074,207646,861,88813,1020,76601,2157,56154
"496.1","Emphysema","Respiratory",226,212167,85,90712,61,79528,388,59510
"496.2","Chronic bronchitis","Respiratory",2397,206676,1006,88318,1651,74638,24,60208
"496.21","Obstructive chronic bronchitis","Respiratory",1106,209768,473,89659,581,77620,781,58731
"496.3","Bronchiectasis","Respiratory",711,210962,293,90169,326,78630,132,59945
"497","Bronchitis","Respiratory",2927,206170,1215,88145,1958,74502,238,59844
"500","Lung disease due to external agents","Respiratory",132,212439,57,90792,56,79641,72,60178
"500.2","Pneumoconiosis","Respiratory",154,212374,42,90792,21,79734,42,60203
"501","Pneumonitis due to inhalation of food or vomitus","Respiratory",884,211404,393,90325,216,79358,1388,58283
"502","Postinflammatory pulmonary fibrosis","Respiratory",435,211832,184,90556,208,79240,233,59795
"503","Pulmonary congestion and hypostasis","Respiratory",187,212348,87,90758,54,79643,428,59643
"504","Other alveolar and parietoalveolar pneumonopathy","Respiratory",104,212539,52,90830,43,79702,57,60174
"504.1","Idiopathic fibrosing alveolitis","Respiratory",172,212362,62,90774,89,79541,68,60176
"505","Other pulmonary inflamation or edema","Respiratory",741,211464,337,90359,247,79329,413,59620
"506","Empyema and pneumothorax","Respiratory",946,211102,397,90267,256,79265,607,59411
"507","Pleurisy; pleural effusion","Respiratory",2459,208599,1010,89217,829,78093,1867,57312
"508","Pulmonary collapse; interstitial and compensatory emphysema","Respiratory",405,212135,151,90689,89,79599,1156,58221
"509.1","Respiratory failure","Respiratory",4797,206353,2018,88210,1291,77589,3229,56075
"509.2","Respiratory insufficiency","Respiratory",197,212479,98,90792,44,79715,222,59936
"509.3","Pulmonary insufficiency or respiratory failure following trauma and surgery","Respiratory",49,212638,12,90892,5,79768,496,59603
"509.5","Respiratory arrest","Respiratory",31,212671,15,90890,13,79763,26,60242
"509.8","Dependence on respirator [Ventilator] or supplemental oxygen","Respiratory",638,211922,252,90588,181,79401,717,59139
"510","Other diseases of lung","Respiratory",386,212023,182,90598,140,79465,251,59264
"512.1","Wheezing","Respiratory",35,212655,20,90882,32,79699,141,60051
"512.2","Painful respiration","Respiratory",1149,210864,452,90187,658,78694,413,59613
"512.7","Shortness of breath","Respiratory",4662,203408,1915,86992,1947,75146,1546,57663
"512.8","Cough","Respiratory",3642,203045,1535,86777,2050,73297,1849,57323
"512.9","Other dyspnea","Respiratory",2889,207386,1185,88709,858,77763,2132,56782
"513.3","Hypoventilation","Respiratory",39,212650,11,90887,15,79747,131,60050
"513.31","Apnea","Respiratory",16,212668,6,90892,10,79754,56,60188
"513.4","Hyperventilation","Respiratory",924,210757,377,90090,421,78866,151,60069
"513.8","Disorders of diaphragm","Respiratory",128,212392,46,90771,43,79589,128,60080
"514","Abnormal findings examination of lungs","Respiratory",592,211659,211,90514,268,79294,405,59639
"514.2","Solitary pulmonary nodule","Respiratory",443,211941,207,90555,166,79439,734,59081
"516.1","Hemoptysis","Respiratory",897,210699,402,90042,445,78512,321,59708
"519","Other diseases of respiratory system, not elsewhere classified","Respiratory",1650,208746,742,89119,1140,76610,57,60194
"519.1","Tracheostomy complications","Respiratory",30,212628,9,90878,15,79702,51,60184
"519.2","Respiratory complications","Respiratory",115,212569,52,90839,39,79708,539,59537
"519.8","Other diseases of respiratory system, NEC","Respiratory",157,212440,64,90795,60,79618,53,60197
"519.9","Symptoms involving respiratory system and other chest symptoms","Respiratory",33,212630,20,90869,18,79725,222,59920
"521","Diseases of hard tissues of teeth","Digestive",78,211813,39,90526,32,79186,5,60265
"521.1","Dental caries","Digestive",571,206574,234,88304,199,75666,111,60084
"522.5","Periapical abscess","Digestive",187,211457,92,90410,55,78839,58,60161
"523","Gingival and periodontal diseases","Digestive",109,211731,50,90468,48,79111,27,60224
"523.1","Gingivitis","Digestive",927,204046,423,87159,333,74419,6,60263
"523.31","Acute periodontitis","Digestive",827,205806,384,87903,239,75205,43,60157
"525","Other diseases of the teeth and supporting structures","Digestive",441,209285,180,89362,114,77728,85,60062
"525.1","Loss of teeth or edentulism","Digestive",77,212507,31,90810,20,79696,10,60261
"526.41","Temporomandibular joint disorder, unspecified","Digestive",129,210998,60,90129,61,78646,17,60232
"526.5","Inflammatory conditions of jaw","Digestive",75,211925,33,90559,20,79391,10,60263
"527.2","Sialoadenitis","Digestive",94,212333,30,90767,25,79582,30,60199
"527.7","Disturbance of salivary secretion","Digestive",44,212308,28,90725,27,79525,32,60216
"528","Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue","Digestive",127,211965,57,90605,37,79365,75,60086
